Oana Ban,Romania,2004,Gymnastics,1,0,0,1
Zhang Nan,China,2004,Gymnastics,0,0,1,1
Nataliya Ziganshina,Russia,2004,Gymnastics,0,0,1,1
Jamie Dantzscher,United States,2000,Gymnastics,0,0,1,1
Dmitry Drevin,Russia,2000,Gymnastics,0,0,1,1
Elise Ray,United States,2000,Gymnastics,0,0,1,1
Xing Aowei,China,2000,Gymnastics,1,0,0,1
Alexandre Pato,Brazil,2008,Football,0,0,1,1
Breno,Brazil,2008,Football,0,0,1,1
Francielle,Brazil,2008,Football,0,1,0,1
Kóki,Brazil,2004,Football,0,1,0,1
Marta,Brazil,2004,Football,0,1,0,1
Sylwia Gruchala,Poland,2000,Fencing,0,1,0,1
Tom Daley,Great Britain,2012,Diving,0,0,1,1
Iván García,Mexico,2012,Diving,0,1,0,1
Zhang Yanquan,China,2012,Diving,1,0,0,1
Huo Liang,China,2008,Diving,1,0,0,1
Yury Kunakov,Russia,2008,Diving,0,1,0,1
Aleksandr Dobroskok,Russia,2000,Diving,0,1,0,1
Emilie Heymans,Canada,2000,Diving,0,1,0,1
Laura Smulders,Netherlands,2012,Cycling,0,0,1,1
Jess Fox,Australia,2012,Canoeing,0,1,0,1
Ronald Rauhe,Germany,2000,Canoeing,0,0,1,1
Robeisy Ramírez,Cuba,2012,Boxing,1,0,0,1
Sergey Karasyov,Russia,2012,Basketball,0,0,1,1
Nijel Amos,Botswana,2012,Athletics,0,1,0,1
Pamela Jelimo,Kenya,2008,Athletics,1,0,0,1
Allyson Felix,United States,2004,Athletics,0,1,0,1
Saul Weigopwa,Nigeria,2004,Athletics,0,0,1,1
Veronica Campbell-Brown,Jamaica,2000,Athletics,0,1,0,1
Enefiok Udo-Obong,Nigeria,2000,Athletics,1,0,0,1
Mariana Avitia,Mexico,2012,Archery,0,0,1,1
Michael Phelps,United States,2004,Swimming,6,0,2,8
Katie Hoff,United States,2008,Swimming,0,1,2,3
Lee Ho-Seok,South Korea,2006,Short-Track Speed Skating,1,2,0,3
Elizabeth Beisel,United States,2012,Swimming,0,1,1,2
Becky Adlington,Great Britain,2008,Swimming,2,0,0,2
Libby Lenton-Trickett,Australia,2004,Swimming,1,0,1,2
Tomomi Morita,Japan,2004,Swimming,0,0,2,2
Anthony Ervin,United States,2000,Swimming,1,1,0,2
J. R. Celski,United States,2010,Short-Track Speed Skating,0,0,2,2
Marianne St-Gelais,Canada,2010,Short-Track Speed Skating,0,2,0,2
Apolo Anton Ohno,United States,2002,Short-Track Speed Skating,1,1,0,2
Sven Kramer,Netherlands,2006,Speed Skating,0,1,1,2
Ireen Wüst,Netherlands,2006,Speed Skating,1,0,1,2
Thomas Morgenstern,Austria,2006,Ski Jumping,2,0,0,2
Denis Ablyazin,Russia,2012,Gymnastics,0,1,1,2
Max Whitlock,Great Britain,2012,Gymnastics,0,0,2,2
Kohei Uchimura,Japan,2008,Gymnastics,0,2,0,2
Li Xiaopeng,China,2000,Gymnastics,2,0,0,2
Sun Yujie,China,2012,Fencing,1,0,1,2
Chen Ruolin,China,2012,Diving,2,0,0,2
Carolin Leonhardt,Germany,2004,Canoeing,1,1,0,2
Lee Seong-Jin,South Korea,2004,Archery,1,1,0,2
Togrul ?sg?rov,Azerbaijan,2012,Wrestling,1,0,0,1
Islam-Beka Albiyev,Russia,2008,Wrestling,1,0,0,1
Apti Aukhadov,Russia,2012,Weightlifting,0,1,0,1
Zulfiya Chinshanlo,Kazakhstan,2012,Weightlifting,1,0,0,1
Cristina Iovu,Moldova,2012,Weightlifting,0,0,1,1
Rim Jong-Sim,North Korea,2012,Weightlifting,1,0,0,1
Eko Irawan,Indonesia,2008,Weightlifting,0,0,1,1
Khadzhimurat Akkayev,Russia,2004,Weightlifting,0,1,0,1
Taner Sagir,Turkey,2004,Weightlifting,1,0,0,1
Nataliya Zabolotnaya,Russia,2004,Weightlifting,0,1,0,1
Raema Lisa Rumbewas,Indonesia,2000,Weightlifting,0,1,0,1
Agata Wróbel,Poland,2000,Weightlifting,0,1,0,1
Wu Wenxiong,China,2000,Weightlifting,0,1,0,1
Marta Bach,Spain,2012,Waterpolo,0,1,0,1
Anna Espar,Spain,2012,Waterpolo,0,1,0,1
Ash Southern,Australia,2012,Waterpolo,0,0,1,1
Maggie Steffens,United States,2012,Waterpolo,1,0,0,1
Roser Tarragó,Spain,2012,Waterpolo,0,1,0,1
Suzie Fraser,Australia,2008,Waterpolo,0,0,1,1
Ilse van der Meijden,Netherlands,2008,Waterpolo,1,0,0,1
Elena Gigli,Italy,2004,Waterpolo,1,0,0,1
Ericka Lorenz,United States,2000,Waterpolo,0,1,0,1
Wei Qiuyue,China,2008,Volleyball,0,0,1,1
Rosir Calderon,Cuba,2004,Volleyball,0,0,1,1
Marina Sheshenina,Russia,2004,Volleyball,0,1,0,1
Yekaterina Gamova,Russia,2000,Volleyball,0,1,0,1
Kasumi Ishikawa,Japan,2012,Table Tennis,0,1,0,1
Dmitrij Ovtcharov,Germany,2008,Table Tennis,0,1,0,1
Dong Dong,China,2008,Trampoline,0,0,1,1
